@RELATION spotify

@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key REAL
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode REAL
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature REAL
@ATTRIBUTE class {0,1}

@DATA
0.62,0.334,5,-10.155,1,0.026,0.662,6.17e-06,0.101,0.267,75.046,225197,4,1
0.485,0.54,1,-5.4,1,0.0253,0.668,0.0,0.0849,0.426,62.631,190933,4,1
0.573,0.593,6,-7.225,1,0.0299,0.114,2.65e-06,0.122,0.425,159.978,231547,4,1
0.709,0.324,2,-10.975,1,0.0444,0.79,0.0,0.1,0.47,99.906,248867,4,1
0.61,0.488,3,-6.918,1,0.0293,0.817,0.0,0.312,0.443,125.039,240227,4,1
0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,305747,3,1
0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3,1
0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,189613,4,1
0.715,0.387,4,-10.53,1,0.0343,0.617,0.000854,0.1,0.183,108.04,256293,4,1
0.462,0.387,0,-7.401,1,0.0292,0.567,0.0,0.164,0.0428,122.698,261080,4,1
0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,223640,1,1
0.583,0.633,2,-7.662,1,0.0279,0.571,0.000816,0.156,0.379,95.037,185687,4,1
0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4,1
0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184,185487,4,1
0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4,1
0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,197867,4,1
0.617,0.439,9,-5.63,1,0.0269,0.424,0.0,0.127,0.242,139.979,280533,4,1
0.761,0.386,4,-6.158,1,0.0399,0.355,0.0,0.0953,0.526,134.943,238440,3,1
0.617,0.172,2,-11.526,1,0.0316,0.907,2.87e-05,0.16,0.199,114.924,206098,3,1
0.63,0.441,10,-10.461,1,0.0518,0.788,0.0,0.268,0.381,120.014,192234,4,1
0.51,0.313,7,-11.773,0,0.0337,0.865,8.74e-05,0.138,0.243,95.71,205227,3,1
0.462,0.109,4,-10.053,0,0.0408,0.875,6.06e-06,0.127,0.151,129.403,201593,4,1
0.564,0.219,0,-12.502,1,0.0301,0.678,2.86e-06,0.109,0.312,120.069,190058,3,1
0.5,0.916,0,-5.065,0,0.0332,0.00833,0.00173,0.255,0.803,90.974,239440,4,1
0.812,0.46,0,-6.193,1,0.0378,0.393,0.0038,0.14,0.351,109.952,233109,4,1
0.577,0.404,6,-10.41,1,0.032,0.59,0.000133,0.133,0.481,166.742,224000,4,1
0.655,0.899,11,-4.869,0,0.0476,0.0202,0.186,0.394,0.828,101.503,185136,4,1
0.658,0.762,10,-3.028,0,0.0425,0.263,0.0,0.127,0.823,163.864,148448,4,1
0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4,1
0.631,0.796,1,-5.35,1,0.0401,0.000245,0.0115,0.38,0.596,92.469,209120,4,1
0.8,0.578,4,-5.144,0,0.0485,0.00381,0.0,0.359,0.367,143.01,204665,4,1
0.717,0.544,7,-6.598,1,0.0371,0.445,5.16e-06,0.0973,0.641,139.959,244493,4,1
0.578,0.574,2,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.152,261240,4,1
0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4,1
0.331,0.622,5,-7.291,0,0.092,0.858,0.0,0.104,0.388,64.468,228093,3,1
0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,4,1
0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,197443,4,1
0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025,219389,4,1
0.548,0.627,9,-8.949,1,0.0409,0.0471,0.0,0.285,0.493,143.994,255455,4,1
0.64,0.674,2,-6.645,1,0.0321,0.158,2.12e-05,0.228,0.39,156.039,227648,4,1
0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,0.0755,0.507,147.988,199549,4,1
