@RELATION spotify

@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key REAL
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode REAL
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature REAL
@ATTRIBUTE class {0,1}

@DATA
0.569,0.944,4,-3.94,1,0.0727,0.0256,0.0,0.243,0.544,110.037,204520,4,0
0.407,0.923,4,-4.884,1,0.131,0.17,0.0,0.112,0.515,200.005,199707,4,0
0.786,0.622,2,-5.035,1,0.0734,0.00554,0.0,0.0866,0.875,120.046,208200,4,0
0.572,0.978,1,-1.616,0,0.0652,0.0216,0.00125,0.274,0.814,96.967,222944,4,0
0.352,0.912,7,-4.253,1,0.0725,0.00197,0.0,0.193,0.351,166.795,220147,4,0
0.573,0.884,2,-3.698,1,0.193,0.0135,0.0,0.582,0.606,164.033,190573,4,0
0.54,0.913,8,-4.176,1,0.233,0.0674,0.0,0.101,0.632,160.168,188440,4,0
0.69,0.846,6,-4.687,1,0.0476,0.0392,0.0,0.793,0.893,126.029,228107,4,0
0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,206520,4,0
0.579,0.889,6,-4.078,1,0.0796,0.197,0.0,0.131,0.556,125.948,248080,4,0
0.64,0.864,11,-4.227,0,0.0436,0.207,0.00146,0.173,0.9,80.865,425253,4,0
0.521,0.72,5,-3.067,0,0.0289,0.429,0.0,0.213,0.701,155.791,327640,4,0
0.552,0.738,0,-2.663,0,0.0289,0.374,9.43e-06,0.341,0.773,149.821,347587,4,0
0.62,0.754,9,-7.976,0,0.0355,0.178,0.00276,0.161,0.777,90.956,245107,4,0
0.576,0.681,5,-5.751,0,0.0337,0.62,6.96e-06,0.151,0.577,80.094,360000,4,0
0.617,0.245,4,-17.679,0,0.0328,0.75,0.0,0.117,0.573,117.971,270327,4,0
0.568,0.817,11,-4.738,0,0.035,0.146,0.000311,0.105,0.717,84.337,314200,4,0
0.764,0.709,9,-7.785,0,0.0302,0.141,8.44e-05,0.181,0.884,144.888,308773,4,0
0.638,0.706,4,-3.27,0,0.0249,0.571,4.87e-06,0.158,0.414,111.552,301973,4,0
0.251,0.847,8,-5.731,1,0.0409,0.000363,1.94e-05,0.357,0.362,84.858,267273,4,0
0.518,0.659,9,-5.104,1,0.0317,0.559,0.000227,0.0655,0.452,88.024,289800,4,0
0.469,0.831,6,-1.267,0,0.0333,0.504,0.0,0.156,0.641,93.131,325480,4,0
0.331,0.796,5,-5.44,1,0.0367,0.000545,0.000319,0.378,0.437,155.449,241232,4,0
0.246,0.779,4,-5.964,1,0.0412,0.0323,0.000243,0.584,0.357,80.442,273081,4,0
0.65,0.628,9,-8.089,0,0.0284,0.506,1.36e-05,0.18,0.957,145.879,234800,4,0
0.504,0.732,9,-4.374,0,0.0299,0.237,5.76e-06,0.0767,0.642,151.851,334000,4,0
0.513,0.845,0,-2.379,0,0.0307,0.536,1.92e-05,0.247,0.674,150.221,285280,4,0
0.477,0.73,0,-5.686,0,0.0277,0.0926,0.000555,0.4,0.66,139.951,230648,4,0
0.602,0.742,5,-5.088,0,0.029,0.0273,0.000225,0.577,0.545,113.827,317409,4,0
0.605,0.419,0,-14.491,1,0.031,0.289,0.000201,0.0748,0.737,127.818,246085,4,0
0.587,0.583,11,-9.327,0,0.0317,0.106,1.72e-06,0.192,0.859,154.851,301507,4,0
0.556,0.323,4,-15.604,0,0.0382,0.396,5.63e-06,0.131,0.411,124.031,341798,4,0
0.649,0.802,7,-7.43,0,0.0282,0.198,7.09e-05,0.163,0.902,149.888,368880,4,0
0.512,0.763,8,-7.372,0,0.0308,0.0985,2.02e-06,0.214,0.626,143.888,348656,4,0
0.495,0.848,0,-0.69,0,0.0284,0.278,0.000984,0.227,0.702,143.355,316840,4,0
0.649,0.569,10,-9.43,0,0.0283,0.0375,0.36,0.236,0.798,136.928,285536,4,0
0.595,0.801,2,-5.611,0,0.0274,0.365,0.00389,0.174,0.665,139.167,457120,4,0
0.749,0.941,0,-3.916,1,0.0667,0.0785,0.0471,0.16,0.971,99.973,209400,4,0
0.706,0.307,4,-21.064,0,0.0372,0.181,0.00425,0.206,0.903,141.07,318147,4,0
0.581,0.744,5,-4.307,0,0.0283,0.203,3.78e-05,0.374,0.542,135.25,263549,4,0
0.542,0.767,5,-6.601,0,0.0313,0.0453,1.48e-06,0.129,0.452,75.896,360000,4,0
0.69,0.322,8,-18.883,0,0.0322,0.133,0.0099,0.359,0.71,132.806,253613,4,0
0.587,0.963,0,1.844,1,0.0515,0.354,9.28e-05,0.33,0.552,104.974,333714,4,0
0.667,0.539,9,-8.348,0,0.0306,0.658,0.0,0.376,0.894,98.915,233400,4,0
0.667,0.862,4,-2.379,0,0.0277,0.114,6.06e-05,0.123,0.782,140.032,333474,4,0
0.76,0.791,7,-1.796,0,0.0271,0.338,6.48e-06,0.0989,0.62,124.96,300959,4,0
0.679,0.777,5,-3.802,0,0.0279,0.363,0.0,0.359,0.777,144.946,245700,4,0
0.85,0.53,0,-9.845,1,0.0296,0.199,0.0021,0.133,0.871,110.864,324453,4,0
0.616,0.316,9,-20.055,0,0.034,0.353,0.0118,0.0839,0.841,148.056,295107,4,0
0.636,0.817,2,-4.629,0,0.0283,0.099,9.96e-06,0.344,0.746,140.081,338868,4,0
0.695,0.449,7,-16.15,0,0.0314,0.442,0.000102,0.255,0.911,129.722,319228,4,0
0.471,0.708,9,-7.547,0,0.0359,0.0509,7.27e-05,0.0977,0.66,168.013,334681,4,0
0.282,0.692,11,-5.578,1,0.0362,0.0343,0.0,0.326,0.496,77.387,227505,4,0
0.595,0.55,0,-8.553,1,0.0275,0.219,0.0074,0.36,0.939,155.779,314613,4,0
0.55,0.856,1,-10.808,1,0.0405,0.459,0.516,0.205,0.963,170.473,266093,4,0
0.389,0.748,4,-5.957,1,0.0351,0.00144,0.000594,0.653,0.614,153.127,312498,4,0
0.613,0.461,5,-11.223,0,0.0304,0.308,7.37e-05,0.109,0.546,132.972,236733,4,0
0.553,0.209,7,-23.606,0,0.0398,0.391,8.8e-05,0.486,0.441,146.309,384383,4,0
0.373,0.7,6,-6.282,1,0.0393,0.000425,0.639,0.499,0.819,156.017,337525,4,0
